chain,meal_name,price,calories,protein,carbohydrates,fat,sodium,allergens,protein_density,carb_protein_ratio,sodium_per_calorie,price_per_protein,health_score,protein_category
Subway,Veggie Delite,5,494,14,54,16,603,"[""Wheat"",""Fish""]",2.83,3.86,1.22,0.36,-2.71,low
Subway,Steak & Cheese,10,31,0,70,4,9,"[""Soybeans"",""Tree Nuts""]",0,,0.29,,0.03,low
Subway,Tuna Sub,13,416,29,49,29,983,"[""Wheat"",""Soy""]",6.97,1.69,2.36,0.45,-6.73,medium
Subway,Sweet Onion Chicken Teriyaki,6,342,21,12,13,513,"[""Wheat"",""Tree Nuts""]",6.14,0.57,1.5,0.29,-5.99,medium
Subway,Cold Cut Combo,5,368,20,33,27,502,"[""Wheat""]",5.43,1.65,1.36,0.25,-5.29,medium
Subway,Chicken & Bacon Ranch,7,441,32,21,15,619,"[""Wheat"",""Eggs"",""Peanuts""]",7.26,0.66,1.4,0.22,-7.12,high
Burger King,Whopper,14,673,31,50,39,998,"[""Wheat"",""Soy"",""Sesame""]",4.61,1.61,1.48,0.45,-4.46,high
Burger King,Double Whopper,6,909,52,53,60,1139,"[""Wheat"",""Soy"",""Sesame""]",5.72,1.02,1.25,0.12,-5.59,high
Burger King,Bacon King,14,1166,62,53,81,2230,"[""Wheat"",""Soy"",""Sesame"",""Shellfish""]",5.32,0.85,1.91,0.23,-5.13,high
Burger King,Original Chicken Sandwich,10,672,23,52,40,1217,"[""Wheat"",""Soy""]",3.42,2.26,1.81,0.43,-3.24,medium
Burger King,Chicken Fries,11,300,14,21,18,894,"[""Wheat""]",4.67,1.5,2.98,0.79,-4.37,low
Burger King,Impossible Whopper,9,645,25,60,36,1125,"[""Wheat"",""Soy"",""Sesame""]",3.88,2.4,1.74,0.36,-3.71,medium
Burger King,Bacon Cheeseburger,13,337,18,27,17,762,"[""Wheat"",""Milk"",""Soy"",""Fish""]",5.34,1.5,2.26,0.72,-5.11,medium
Burger King,Crispy Chicken Sandwich,8,472,26,47,25,1108,"[""Wheat"",""Soy"",""Soybeans""]",5.51,1.81,2.35,0.31,-5.27,medium
Burger King,Onion Rings,14,426,8,54,24,1129,"[""Wheat"",""Milk""]",1.88,6.75,2.65,1.75,-1.61,low
Burger King,Chicken Jr.,5,454,16,47,26,799,"[""Wheat"",""Soy""]",3.52,2.94,1.76,0.31,-3.34,medium
